book,title,author,genre,num_pages
1,And Then There Were None,Agatha Christie,Mystery,264.0
2,"The Lion, the Witch and the Wardrobe",C. S. Lewis,"Fantasy, Children's fiction",206.0
3,Harry Potter and the Chamber of Secrets,J. K. Rowling,Fantasy,352.0
4,The Catcher in the Rye,J. D. Salinger,Coming-of-age,234.0
5,Lolita,Vladimir Nabokov,Novel,335.0
6,Anne of Green Gables,Lucy Maud Montgomery,Children's novel,320.0
7,The Ginger Man,J. P. Donleavy,Novel,347.0
8,Cosmos,Carl Sagan,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History",208.0
9,The Great Gatsby,F. Scott Fitzgerald,"Novel, tragedy",182.0
10,Rebecca,Daphne du Maurier,Gothic novel,176.0
11,The Godfather,Mario Puzo,Crime novel,448.0
12,Pride and Prejudice,Jane Austen,"Classic regency novel, romance",480.0
13,Dune,Frank Herbert,Science fiction novel,667.0
14,Charlie and the Chocolate Factory,Roald Dahl,Children's fantasy novel,40.0
15,The Outsiders,S. E. Hinton,Fiction,160.0
16,The Grapes of Wrath,John Steinbeck,Fiction,464.0
17,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science fiction,215.0
18,Life After Life,Raymond Moody,"Fiction,Contemporary,Literary Fiction,Adult Fiction,American,Southern,Death,Adult,Novels,Family,Audiobook",352.0
19,The Giver,Lois Lowry,Dystopian fiction,208.0
20,The Prophet,Kahlil Gibran,"Fantasy,Paranormal,Mystery,Paranormal,Ghosts,Fantasy,Urban Fantasy,Romance,Fantasy,Romance,Paranormal Romance,Horror,Fiction,Fantasy,Supernatural",347.0
21,Catch-22,Joseph Heller,Fiction,519.0
22,Fahrenheit 451,Ray Bradbury,Book burning,190.0
23,Bridget Jones's Diary,Helen Fielding,Fiction,271.0
24,Gilead,Marilynne Robinson,Fiction,247.0
25,The Four Loves,Clive Staples Lewis,Christian life,170.0
26,The Problem of Pain,Clive Staples Lewis,Christian life,176.0
27,Assassin's Apprentice,Robin Hobb,American fiction,460.0
28,The Once and Future King,Terence Hanbury White,Fiction,639.0
29,Glamorous Powers,Susan Howatch,Clergy,512.0
30,Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",474.0
31,The Reverse of the Medal,Patrick O'Brian,Adventure stories,261.0
32,The White Album,Joan Didion,American essays,224.0
